Temps (h);Q(mW/g)
0.01;20.94
0.17;1.683501684
0.34;0
0.51;0
0.67;0
0.84;0
1.01;0.841750842
1.17;1.683501684
1.34;2.450980392
1.51;2.525252525
1.67;2.525252525
1.84;4.08496732
2.01;5.050505051
2.17;5.892255892
2.34;6.535947712
2.51;6.734006734
2.67;7.575757576
2.84;8.986928105
3.01;10.1010101
3.17;10.1010101
3.34;10.62091503
3.51;10.94276094
3.67;10.94276094
3.84;10.62091503
4.01;10.1010101
4.17;10.1010101
4.34;8.986928105
4.51;7.575757576
4.67;5.892255892
4.84;4.901960784
5.01;5.050505051
5.17;5.050505051
5.34;4.08496732
5.51;3.367003367
5.67;3.367003367
5.84;3.267973856
6.01;3.367003367
6.17;2.525252525
6.34;2.450980392
6.51;2.525252525
6.67;1.683501684
6.84;2.450980392
7.01;2.525252525
7.17;1.683501684
7.34;1.633986928
7.51;1.683501684
7.67;1.683501684
7.84;1.633986928
8.01;1.683501684
8.17;1.683501684
8.34;0.816993464
8.51;0.841750842
8.67;1.683501684
8.84;1.633986928
9.01;1.683501684
9.17;0.841750842
9.34;0.816993464
9.51;0.841750842
9.67;0.841750842
9.84;1.633986928
10.01;0.841750842
10.17;0.771604938
10.37;0.750750751
10.54;0.816993464
10.71;0.841750842
10.87;0.841750842
11.04;0.816993464
11.21;0
11.37;0.841750842
11.54;0.816993464
11.71;0
11.87;0.841750842
12.04;0.816993464
12.21;0
12.37;0
12.54;0.816993464
12.71;0.841750842
12.87;0
13.04;0
13.21;0
13.37;0
13.54;0
13.71;0
13.87;0
14.04;0
14.21;0
14.37;0
14.54;0
14.71;0
14.87;0
15.04;0.816993464
15.21;0.841750842
15.37;0
15.54;0
15.71;0
15.87;0.841750842
16.04;0.816993464
16.21;0
16.37;0
16.54;0
16.71;0.841750842
16.87;0.841750842
17.04;0
17.21;0.841750842
17.37;0.841750842
17.54;0
17.71;0
17.87;0.841750842
18.04;0.816993464
18.21;0.841750842
18.37;0.841750842
18.54;0
18.71;0.816993464
18.88;0.841750842
19.04;0.841750842
19.21;0.816993464
19.38;0
19.54;0.841750842
19.71;0.816993464
19.88;0.841750842
20.04;0.841750842
20.21;0
20.38;0.841750842
20.54;1.683501684
20.71;0.816993464
20.88;0
21.04;0.841750842
21.21;0.816993464
21.38;0.841750842
21.54;0.841750842
21.71;0.816993464
21.88;0.841750842
22.04;0.841750842
22.21;0.816993464
22.38;0
22.54;0.841750842
22.71;0.816993464
22.88;0.841750842
23.04;0.841750842
23.21;0.816993464
23.38;0.841750842
23.54;0.841750842
23.71;0.816993464
23.88;0.816993464
24.04;0.816993464
